POINTID,collarID,collOrig,SEX,Treatment,PrePost,ID,Timestamp,Northing,Easting
527,40991,40991,F,H2L,PreMove,40991 PreMove,10/7/2018 22:00:0,33.14841,-81.708137
528,40991,40991,F,H2L,PreMove,40991 PreMove,10/8/2018 0:00:0,33.149669,-81.70549
529,40991,40991,F,H2L,PreMove,40991 PreMove,10/8/2018 2:00:0,33.14989,-81.704444
530,40991,40991,F,H2L,PreMove,40991 PreMove,10/8/2018 4:00:0,33.147102,-81.701736
531,40991,40991,F,H2L,PreMove,40991 PreMove,10/8/2018 6:00:0,33.147754,-81.70372
532,40991,40991,F,H2L,PreMove,40991 PreMove,10/8/2018 18:00:0,33.149124,-81.707527
533,40991,40991,F,H2L,PreMove,40991 PreMove,10/8/2018 20:00:0,33.148353,-81.708175
534,40991,40991,F,H2L,PreMove,40991 PreMove,10/8/2018 22:00:0,33.149765,-81.7052
535,40991,40991,F,H2L,PreMove,40991 PreMove,10/9/2018 0:00:0,33.149459,-81.704383
536,40991,40991,F,H2L,PreMove,40991 PreMove,10/9/2018 2:00:0,33.149669,-81.703826
537,40991,40991,F,H2L,PreMove,40991 PreMove,10/9/2018 4:00:0,33.148418,-81.708183
538,40991,40991,F,H2L,PreMove,40991 PreMove,10/9/2018 6:00:0,33.150127,-81.705932
539,40991,40991,F,H2L,PreMove,40991 PreMove,10/9/2018 12:00:0,33.151359,-81.704589
540,40991,40991,F,H2L,PreMove,40991 PreMove,10/9/2018 18:00:0,33.148685,-81.707839
541,40991,40991,F,H2L,PreMove,40991 PreMove,10/9/2018 20:00:0,33.148345,-81.708137
542,40991,40991,F,H2L,PreMove,40991 PreMove,10/9/2018 22:00:0,33.149414,-81.706459
543,40991,40991,F,H2L,PreMove,40991 PreMove,10/10/2018 0:00:0,33.148094,-81.703849
544,40991,40991,F,H2L,PreMove,40991 PreMove,10/10/2018 2:00:0,33.146713,-81.70198
545,40991,40991,F,H2L,PreMove,40991 PreMove,10/10/2018 4:00:0,33.149288,-81.703598
546,40991,40991,F,H2L,PreMove,40991 PreMove,10/10/2018 6:00:0,33.150413,-81.705238
547,40991,40991,F,H2L,PreMove,40991 PreMove,10/10/2018 12:00:0,33.151412,-81.704177
548,40991,40991,F,H2L,PreMove,40991 PreMove,10/10/2018 18:00:0,33.148391,-81.708137
549,40991,40991,F,H2L,PreMove,40991 PreMove,10/10/2018 20:00:0,33.14838,-81.708145
550,40991,40991,F,H2L,PreMove,40991 PreMove,10/10/2018 22:00:0,33.149784,-81.708442
551,40991,40991,F,H2L,PreMove,40991 PreMove,10/11/2018 0:00:0,33.149772,-81.708137
552,40991,40991,F,H2L,PreMove,40991 PreMove,10/11/2018 2:00:0,33.148422,-81.708175
553,40991,40991,F,H2L,PreMove,40991 PreMove,10/11/2018 4:00:0,33.148132,-81.706993
554,40991,40991,F,H2L,PreMove,40991 PreMove,10/11/2018 6:00:0,33.147469,-81.70329
555,40991,40991,F,H2L,PreMove,40991 PreMove,10/11/2018 12:00:0,33.150947,-81.70465
556,40991,40991,F,H2L,PreMove,40991 PreMove,10/11/2018 18:00:0,33.148353,-81.708122
557,40991,40991,F,H2L,PreMove,40991 PreMove,10/11/2018 20:00:0,33.148353,-81.708147
558,40991,40991,F,H2L,PreMove,40991 PreMove,10/11/2018 22:00:0,33.150375,-81.703748
