POINTID,collarID,collOrig,SEX,Treatment,PrePost,ID,Timestamp,Northing,Easting
162,40991,40991,F,H2L,PostMove,40991 PostMove,12/9/2018 0:00:0,33.274435,-81.695915
163,40991,40991,F,H2L,PostMove,40991 PostMove,12/9/2018 2:00:0,33.274721,-81.691591
164,40991,40991,F,H2L,PostMove,40991 PostMove,12/9/2018 4:00:0,33.274772,-81.693893
165,40991,40991,F,H2L,PostMove,40991 PostMove,12/9/2018 6:00:0,33.274353,-81.694109
166,40991,40991,F,H2L,PostMove,40991 PostMove,12/9/2018 12:00:0,33.272789,-81.691223
167,40991,40991,F,H2L,PostMove,40991 PostMove,12/9/2018 18:00:0,33.283877,-81.69402
168,40991,40991,F,H2L,PostMove,40991 PostMove,12/9/2018 20:00:0,33.27317,-81.695393
169,40991,40991,F,H2L,PostMove,40991 PostMove,12/9/2018 22:00:0,33.2705,-81.696627
170,40991,40991,F,H2L,PostMove,40991 PostMove,12/10/2018 0:00:0,33.269762,-81.69725
171,40991,40991,F,H2L,PostMove,40991 PostMove,12/10/2018 2:00:0,33.273176,-81.700594
172,40991,40991,F,H2L,PostMove,40991 PostMove,12/10/2018 4:00:0,33.275904,-81.696067
173,40991,40991,F,H2L,PostMove,40991 PostMove,12/10/2018 6:00:0,33.277989,-81.696868
174,40991,40991,F,H2L,PostMove,40991 PostMove,12/10/2018 12:00:0,33.276921,-81.695139
175,40991,40991,F,H2L,PostMove,40991 PostMove,12/10/2018 18:00:0,33.274588,-81.691591
176,40991,40991,F,H2L,PostMove,40991 PostMove,12/10/2018 20:00:0,33.274295,-81.692749
177,40991,40991,F,H2L,PostMove,40991 PostMove,12/10/2018 22:00:0,33.274117,-81.691134
178,40991,40991,F,H2L,PostMove,40991 PostMove,12/11/2018 0:00:0,33.277118,-81.688222
179,40991,40991,F,H2L,PostMove,40991 PostMove,12/11/2018 2:00:0,33.287901,-81.683771
180,40991,40991,F,H2L,PostMove,40991 PostMove,12/11/2018 4:00:0,33.283393,-81.692393
181,40991,40991,F,H2L,PostMove,40991 PostMove,12/11/2018 6:00:0,33.279083,-81.696805
182,40991,40991,F,H2L,PostMove,40991 PostMove,12/11/2018 18:00:0,33.277182,-81.693588
183,40991,40991,F,H2L,PostMove,40991 PostMove,12/11/2018 20:00:0,33.274054,-81.691401
184,40991,40991,F,H2L,PostMove,40991 PostMove,12/11/2018 22:00:0,33.272223,-81.693537
185,40991,40991,F,H2L,PostMove,40991 PostMove,12/12/2018 0:00:0,33.270404,-81.692888
186,40991,40991,F,H2L,PostMove,40991 PostMove,12/12/2018 2:00:0,33.270423,-81.692914
187,40991,40991,F,H2L,PostMove,40991 PostMove,12/12/2018 4:00:0,33.272604,-81.695368
188,40991,40991,F,H2L,PostMove,40991 PostMove,12/12/2018 6:00:0,33.272382,-81.695343
189,40991,40991,F,H2L,PostMove,40991 PostMove,12/12/2018 12:00:0,33.272363,-81.695241
190,40991,40991,F,H2L,PostMove,40991 PostMove,12/12/2018 18:00:0,33.270373,-81.693066
191,40991,40991,F,H2L,PostMove,40991 PostMove,12/12/2018 20:00:0,33.270646,-81.696411
192,40991,40991,F,H2L,PostMove,40991 PostMove,12/12/2018 22:00:0,33.274092,-81.692126
193,40991,40991,F,H2L,PostMove,40991 PostMove,12/13/2018 0:00:0,33.274105,-81.690994
194,40991,40991,F,H2L,PostMove,40991 PostMove,12/13/2018 2:00:0,33.276508,-81.694554
195,40991,40991,F,H2L,PostMove,40991 PostMove,12/13/2018 6:00:0,33.278453,-81.69505
196,40991,40991,F,H2L,PostMove,40991 PostMove,12/13/2018 12:00:0,33.272445,-81.695254
